Name,Verein,CleanSheet,Paraden/10,AbgewehrteElfmeter/GesamteElfmeter*10,Rating
"Ramazan Özcan","Bayer 04 Leverkusen",NULL,NULL,5,NULL
"Fabian Bredlow","1. FC Nürnberg",2,3.2,5,10.2
"Gregor Kobel","FC Augsburg",3,4.6,3.333333333333333,10.933333333333334
"Alexander Nübel","FC Schalke 04",4,4.5,2.5,11
"Rune Jarstein","Hertha BSC",8,7.4,2.5,17.9
"Lukás Hrádecky","Bayer 04 Leverkusen",9,6.6,2.5,18.1
"Koen Casteels","VfL Wolfsburg",8,6,2,16
"Michael Esser","Hannover 96",5,11.8,1.6666666666666665,18.46666666666667
"Luca Plogmann","SV Werder Bremen",NULL,NULL,0,NULL
"Yvon Mvogo","RB Leipzig",NULL,NULL,0,NULL
