Name,Verein,Tore,Vorlagen,ShotOnTarget/3,TorschussVorlagen/3,SuccessfulDribblings/TotalDribblings*10,PassCompleted/TotalPass*10,Rating
"Leon Goretzka","FC Bayern München",8,5,7.333333333333333,5.333333333333333,6.086956521739131,8.706382978723404,40.4600061671292
"Marko Grujic","Hertha BSC",5,1,6.666666666666667,5.333333333333333,5.918367346938775,8.117154811715482,32.03552215865426
"Jonas Hofmann","B. Mönchengladbach",5,5,3.3333333333333335,11,3.548387096774194,8.132854578096948,36.014575008204474
"Maximilian Eggestein","SV Werder Bremen",5,5,4.666666666666667,14.333333333333334,4,7.941359950093575,40.94135995009358
"Davy Klaassen","SV Werder Bremen",5,5,3.3333333333333335,12,5.172413793103448,7.339228295819936,37.844975422256724
"Kerem Demirbay","TSG 1899 Hoffenheim",4,9,5.666666666666667,25.333333333333332,7.125,7.734650670430487,58.85965067043049
"Hanno Behrens","1. FC Nürnberg",4,3,3,7,5,6.765350877192983,28.765350877192983
"Kevin Möhwald","SV Werder Bremen",3,1,3.3333333333333335,3,5,8.023715415019764,23.357048748353098
"Eduard Löwen","1. FC Nürnberg",3,3,4.333333333333333,4.333333333333333,4.142857142857143,7.424242424242424,26.233766233766232
"Florian Neuhaus","B. Mönchengladbach",3,9,4.333333333333333,9.333333333333334,4.915254237288136,8.210290827740492,38.79221173169529
