Name,Verein,Position,Einsatz,SpielMinuten,AbgewehrteBaelle,ShotOnTarget
Péter Gulácsi,RB Leipzig,Torhüter,33.0,3097.0,93.0,119.0
Andreas Luthe,FC Augsburg,Torhüter,15.0,1408.0,57.0,78.0
Yann Sommer,B. Mönchengladbach,Torhüter,34.0,3252.0,118.0,162.0
Kevin Trapp,Eintracht Frankfurt,Torhüter,33.0,3149.0,119.0,166.0
Oliver Baumann,TSG 1899 Hoffenheim,Torhüter,33.0,3186.0,119.0,170.0
Ralf Fährmann,FC Schalke 04,Torhüter,17.0,1596.0,58.0,83.0
Michael Esser,Hannover 96,Torhüter,32.0,3084.0,153.0,219.0
Jirí Pavlenka,SV Werder Bremen,Torhüter,34.0,3188.0,107.0,155.0
Rune Jarstein,Hertha BSC,Torhüter,31.0,2924.0,102.0,148.0
Christian Mathenia,1. FC Nürnberg,Torhüter,22.0,2067.0,83.0,121.0
Roman Bürki,Borussia Dortmund,Torhüter,32.0,3090.0,88.0,129.0
Koen Casteels,VfL Wolfsburg,Torhüter,26.0,2462.0,80.0,120.0
Alexander Nübel,FC Schalke 04,Torhüter,18.0,1696.0,58.0,87.0
Florian Müller,1. FSV Mainz 05,Torhüter,24.0,2300.0,83.0,128.0
Alexander Schwolow,SC Freiburg,Torhüter,33.0,3188.0,114.0,176.0
Lukás Hrádecky,Bayer 04 Leverkusen,Torhüter,32.0,3076.0,84.0,130.0
Michael Rensing,Fortuna Düsseldorf,Torhüter,32.0,3068.0,111.0,173.0
Ron-Robert Zieler,VfB Stuttgart,Torhüter,34.0,3240.0,116.0,182.0
Manuel Neuer,FC Bayern München,Torhüter,26.0,2438.0,34.0,57.0
Gregor Kobel,FC Augsburg,Torhüter,17.0,1565.0,58.0,101.0
Fabian Bredlow,1. FC Nürnberg,Torhüter,13.0,1194.0,34.0,63.0
